Gene1,Gene2,Score
JUN,ETF1,1484.0
JUN,NCAPG2,1424.0
JUN,TMUB2,1360.0
JUN,VIM,1192.0
JUN,HK3,1823.0
JUN,UNK,1287.0
JUN,CD44,1218.0
JUN,ARHGAP18,1247.0
JUN,LSP1,1535.0
JUN,GALNT11,1553.0
JUN,CHMP7,1298.0
JUN,NARS,1241.0
JUN,TCTN3,1552.0
JUN,PCNA,1440.0
JUN,PRKAB1,1629.0
JUN,NAA35,1558.0
JUN,TPM4,1436.0
JUN,TRIB3,1515.0
JUN,SLC30A5,1198.0
JUN,EVI2A,1254.0
JUN,SIRPA,1150.0
JUN,TRMT2A,1230.0
JUN,RANBP1,1230.0
JUN,NT5C2,1567.0
JUN,PAQR7,1690.0
JUN,HAT1,1579.0
JUN,SOCS5,1368.0
JUN,EBI3,2179.0
JUN,CELA1,1519.0
JUN,EZR,1366.0
JUN,XAF1,1396.0
JUN,DUSP1,1174.0
JUN,NDUFA10,1446.0
JUN,OASL1,1128.0
JUN,QARS,1281.0
JUN,LMBRD1,1419.0
JUN,CAMK2D,1505.0
JUN,RTP4,1598.0
JUN,ATP1A3,1441.0
JUN,ELF1,1377.0
JUN,PLIN3,1112.0
JUN,SMARCA2,1161.0
JUN,TALDO1,1515.0
JUN,NAMPT,1208.0
JUN,I830077J02RIK,2585.0
JUN,N4BP3,1577.0
JUN,MYADM,1495.0
JUN,SLCO4A1,1706.0
JUN,BPIFC,1393.0
JUN,GBP7,1389.0
JUN,PDE4B,925.0
JUN,CYTIP,1277.0
JUN,LRRC49,1027.0
JUN,CST3,1261.0
JUN,UBAP1,1202.0
JUN,H2-Q6,1390.0
JUN,MDH2,1265.0
JUN,ALG9,1929.0
JUN,TUBGCP2,1304.0
JUN,LRRC59,1018.0
JUN,PLEC,833.0
JUN,WDSUB1,1566.0
JUN,CLEC4E,1620.0
JUN,SNX10,1804.0
JUN,ANXA2,1098.0
JUN,FGD4,1462.0
JUN,ZSCAN22,1268.0
JUN,RRAD,1471.0
JUN,CYP4V3,1457.0
JUN,HSP90AA1,1256.0
JUN,CFP,1384.0
JUN,NOLC1,1073.0
JUN,ADGRG1,1276.0
JUN,CLCF1,1351.0
JUN,ELMOD2,1221.0
JUN,EIF5A,1416.0
JUN,TTPAL,1530.0
JUN,ZYX,1084.0
JUN,SLPI,2056.0
JUN,UBE2L6,1578.0
JUN,TXNIP,1658.0
JUN,GOSR2,1283.0
JUN,STXBP3,1137.0
JUN,WDR62,1272.0
JUN,VAMP3,1068.0
JUN,TMEM154,1552.0
JUN,GALK2,1203.0
JUN,MARS,1093.0
JUN,F2R,1266.0
JUN,SYNJ1,1130.0
JUN,RUVBL2,1169.0
JUN,GYS1,1169.0
JUN,RRAS,1527.0
JUN,TFG,1049.0
JUN,TMC6,988.0
JUN,SLC52A2,1295.0
JUN,TMEM33,1012.0
JUN,ILVBL,1116.0
JUN,SH3BP5,1535.0
JUN,LYSMD3,1268.0
JUN,CTLA2B,1511.0
JUN,IPO4,1211.0
JUN,DEF8,1042.0
JUN,RHOJ,1289.0
JUN,PARP3,973.0
JUN,RANGAP1,1169.0
JUN,HJURP,762.0
JUN,POT1A,880.0
JUN,SLC31A1,1113.0
JUN,UAP1,1100.0
JUN,GBP2,1571.0
JUN,TNIP3,1995.0
JUN,ZEB2,1092.0
JUN,ZFAND5,882.0
JUN,HPN,1637.0
JUN,H2-Q7,1026.0
JUN,NDEL1,1034.0
JUN,CD244A,1368.0
JUN,SLC39A10,909.0
JUN,USP22,943.0
JUN,TXNDC11,1208.0
JUN,REL,1613.0
JUN,TCF12,950.0
JUN,A130010J15RIK,1085.0
JUN,GAA,1013.0
JUN,COPS8,918.0
JUN,BTAF1,1093.0
JUN,ZSCAN21,885.0
JUN,SAMSN1,815.0
JUN,MS4A6B,1157.0
JUN,IL1R1,896.0
JUN,IFIT3,1275.0
JUN,PHF11B,1924.0
JUN,OLR1,1541.0
JUN,RFC4,1063.0
JUN,ARL11,1043.0
JUN,C3,1929.0
JUN,LRRFIP1,1424.0
JUN,FIGNL1,732.0
JUN,OAT,1025.0
JUN,FZR1,875.0
JUN,RAD51AP1,1152.0
JUN,STIL,1567.0
JUN,KYAT1,957.0
JUN,SGMS1,1238.0
JUN,PTPRC,1008.0
JUN,RBPMS,1139.0
JUN,OAS3,1310.0
JUN,EDC3,1113.0
JUN,NAE1,1432.0
JUN,UPP1,874.0
JUN,USP32,1046.0
JUN,PTPRS,1003.0
JUN,ISG20,1004.0
JUN,PCYT1A,899.0
JUN,OPTN,1635.0
JUN,HSPA5,829.0
JUN,PLPP1,765.0
JUN,WFDC17,1276.0
JUN,FEM1B,1617.0
JUN,PTPRE,1291.0
JUN,MT1,1168.0
JUN,E2F8,1524.0
JUN,DHX33,711.0
JUN,TNFAIP8,1273.0
JUN,IL18RAP,1100.0
JUN,LAPTM5,1147.0
JUN,CDC42EP4,1005.0
JUN,PRMT9,1051.0
JUN,PAFAH2,1022.0
JUN,HEATR5A,1884.0
JUN,AMPD3,1601.0
JUN,FBXW5,1239.0
JUN,DAPP1,1005.0
JUN,MON2,1000.0
JUN,CTC1,954.0
JUN,ELOVL5,1018.0
JUN,SLC25A38,937.0
JUN,CDCA5,914.0
JUN,CAV2,1032.0
JUN,HSPA4,874.0
JUN,ARAP1,914.0
JUN,PPFIA4,1347.0
JUN,NDC80,1075.0
JUN,GOLPH3,1143.0
JUN,KCTD20,914.0
JUN,TOR3A,1064.0
JUN,PRSS50,1457.0
JUN,ESYT2,992.0
JUN,NUBP2,665.0
JUN,ATP5G1,1071.0
JUN,HSD3B7,1146.0
JUN,MIEF1,851.0
JUN,PAK1,1681.0
JUN,DUSP6,1021.0
JUN,RETREG1,1630.0
JUN,PTPN22,1140.0
JUN,PSMD3,1825.0
JUN,BIRC5,819.0
JUN,CENPA,1173.0
JUN,PIRB,999.0
JUN,ERP29,849.0
JUN,AFG3L2,1998.0
JUN,MT2,961.0
JUN,IGSF6,1614.0
JUN,KLHL12,786.0
JUN,MNDAL,1147.0
JUN,PATL1,1312.0
JUN,TBC1D15,802.0
JUN,ATG16L1,833.0
JUN,ATG16L2,880.0
JUN,STX11,2028.0
JUN,GALNT6,1044.0
JUN,IFI203,936.0
JUN,NUP107,841.0
JUN,TMEM43,923.0
JUN,RGCC,858.0
JUN,DCK,959.0
JUN,HERPUD1,806.0
JUN,SMPDL3A,1052.0
JUN,HSPA9,676.0
JUN,METTL25,2010.0
JUN,SKAP2,976.0
JUN,PPM1F,1463.0
JUN,HCLS1,907.0
JUN,CBX5,857.0
JUN,HSPE1,765.0
JUN,HSPD1,765.0
JUN,KPNA3,602.0
JUN,AQP9,1201.0
JUN,GSKIP,1029.0
JUN,EMILIN2,943.0
JUN,LONP1,868.0
JUN,LY9,1178.0
JUN,TYROBP,866.0
JUN,ZFP367,851.0
JUN,ZFP655,841.0
JUN,GBP9,712.0
JUN,STAM,880.0
JUN,LGALS9,992.0
JUN,CAST,1296.0
JUN,GIMAP6,948.0
JUN,NUDT9,756.0
JUN,SHCBP1,815.0
JUN,GEM,961.0
JUN,RGS1,963.0
JUN,CTSC,825.0
JUN,DDX20,822.0
JUN,ABCE1,782.0
JUN,STXBP1,990.0
JUN,MINPP1,1054.0
JUN,ARHGAP19,1483.0
JUN,DUSP5,924.0
JUN,NFE2,911.0
JUN,CALCRL,767.0
JUN,LDLR,813.0
JUN,CASP4,1709.0
JUN,ABCF3,787.0
JUN,OSGIN2,1078.0
JUN,CTSE,1022.0
JUN,RPL41,667.0
JUN,SPPL2A,1540.0
JUN,GCLM,993.0
JUN,CLPTM1L,934.0
JUN,STAT3,648.0
JUN,CAPN2,720.0
JUN,PSAP,579.0
JUN,EIF4EBP1,760.0
JUN,AHCYL1,767.0
JUN,IDH1,1173.0
JUN,AP5M1,938.0
JUN,OSBPL8,803.0
JUN,SLC25A44,775.0
JUN,DUSP2,1495.0
JUN,TNFRSF1B,1222.0
JUN,TREM3,1325.0
JUN,ARID5A,869.0
JUN,IFI47,1179.0
JUN,PPM1D,829.0
JUN,ENG,1098.0
JUN,GORASP1,802.0
JUN,PRCP,1234.0
JUN,F10,875.0
JUN,DDIAS,1234.0
JUN,MARVELD1,783.0
JUN,SCRN3,665.0
JUN,CHMP3,1561.0
JUN,ABTB1,738.0
JUN,KAT7,717.0
JUN,ADORA2A,1397.0
JUN,DGLUCY,1305.0
JUN,ITGB1,713.0
JUN,UHRF1,759.0
JUN,MAT2A,820.0
JUN,FBXO30,1027.0
JUN,AMPD2,1038.0
JUN,NAA50,676.0
JUN,TBXAS1,1094.0
JUN,MICU1,762.0
JUN,CRY2,1148.0
JUN,DNAJC10,790.0
JUN,GSTM1,1104.0
JUN,NBEAL2,965.0
JUN,MYH10,972.0
JUN,LPP,669.0
JUN,FBXO34,708.0
JUN,S100A6,772.0
JUN,VDR,794.0
JUN,ADCY7,795.0
JUN,RAB44,1149.0
JUN,RAB7B,758.0
JUN,PPM1M,1117.0
JUN,GTF2F1,593.0
JUN,FOXRED1,1021.0
JUN,SCFD1,728.0
JUN,FAM111A,956.0
JUN,ZRANB1,790.0
JUN,ITGA5,748.0
JUN,STK25,827.0
JUN,ZFP945,897.0
JUN,YIPF6,1599.0
JUN,RASA3,609.0
JUN,AKNA,696.0
JUN,NECAP2,761.0
JUN,MTURN,817.0
JUN,FAM136A,769.0
JUN,CCT8,1811.0
JUN,CS,1092.0
JUN,NEDD1,1008.0
JUN,ORC5,688.0
JUN,CTSD,933.0
JUN,NUPR1,1415.0
JUN,UBE2G2,635.0
JUN,CSTF1,1998.0
JUN,AURKA,1998.0
JUN,LANCL2,746.0
JUN,GRAMD1A,1793.0
JUN,NCAPH,828.0
JUN,IL7,1682.0
JUN,SLC35E1,657.0
JUN,DOP1B,638.0
JUN,ACOX3,1121.0
JUN,TMEM184C,759.0
JUN,TPP1,1246.0
JUN,RCC1,1297.0
JUN,CCL6,1256.0
JUN,RARB,1136.0
JUN,ADAL,765.0
JUN,ZBTB4,912.0
JUN,CTSZ,1085.0
JUN,AP5Z1,814.0
JUN,GPX1,724.0
JUN,HSD11B1,1041.0
JUN,DCP1A,975.0
JUN,TBL3,863.0
JUN,IFI27,826.0
JUN,TSC22D1,815.0
JUN,LDHB,1073.0
JUN,SELPLG,939.0
JUN,SNRNP200,565.0
JUN,KCTD12,1017.0
JUN,ERLIN1,796.0
JUN,PITPNB,708.0
JUN,ADSSL1,863.0
JUN,PRDM4,1813.0
JUN,CD53,822.0
JUN,TBCD,891.0
JUN,CD69,1923.0
JUN,ZBTB43,492.0
JUN,PRMT5,875.0
JUN,HIST1H4D,2158.0
JUN,NT5C3,1029.0
JUN,POR,555.0
JUN,WSB1,575.0
JUN,RGS18,1014.0
JUN,KDM8,1987.0
JUN,STARD10,1095.0
JUN,PHTF2,889.0
JUN,ARL8B,444.0
JUN,STK38,938.0
JUN,NFE2L2,1297.0
JUN,LY6A,899.0
JUN,KLF3,687.0
JUN,TXN2,594.0
JUN,ANKRD44,966.0
JUN,EPS8,1092.0
JUN,MTREX,651.0
JUN,ME2,1175.0
JUN,TIMM50,745.0
JUN,TIMM29,584.0
JUN,SLC26A11,804.0
JUN,XRCC6,523.0
JUN,DPY19L4,693.0
JUN,NADK,2080.0
JUN,IFIT1,1191.0
JUN,DOCK10,931.0
JUN,DPP8,637.0
JUN,LDHA,620.0
JUN,PHF5A,503.0
JUN,EPS15,919.0
JUN,NDST2,678.0
JUN,XPNPEP1,612.0
JUN,ZFP266,647.0
JUN,CST7,1024.0
JUN,ARL6IP6,1672.0
JUN,NOC4L,697.0
JUN,UBA6,647.0
JUN,DENND1C,757.0
JUN,RNF38,951.0
JUN,PHB2,484.0
JUN,ABHD16A,712.0
JUN,ZFP62,594.0
JUN,MYO1D,832.0
JUN,GPSM1,754.0
JUN,HGSNAT,579.0
JUN,UQCRFS1,678.0
JUN,ASAH1,1010.0
JUN,BCL2,608.0
JUN,VKORC1L1,609.0
JUN,TBC1D25,822.0
JUN,CENPE,646.0
JUN,GCNT2,968.0
JUN,BLVRB,1266.0
JUN,STK10,1637.0
JUN,SEC23IP,1072.0
JUN,EIF1A,622.0
JUN,FBXO3,730.0
JUN,CHORDC1,807.0
JUN,PSMD1,937.0
JUN,EPRS,600.0
JUN,TOX4,590.0
JUN,MAPKAPK3,727.0
JUN,PALLD,962.0
JUN,RAB32,1556.0
JUN,GBP5,1788.0
JUN,IFRD2,943.0
JUN,RBSN,1937.0
JUN,TARS,738.0
JUN,VPS33B,615.0
JUN,ARRDC4,1207.0
JUN,ZFP658,689.0
JUN,TES,1030.0
JUN,NFATC1,1256.0
JUN,TASP1,809.0
JUN,EIF3A,465.0
JUN,CNOT10,522.0
JUN,PITRM1,738.0
JUN,PSMD5,453.0
JUN,ATL2,718.0
JUN,PKIA,561.0
JUN,PSEN1,741.0
JUN,RMND5A,863.0
JUN,WDR43,586.0
JUN,COPG1,734.0
JUN,HAUS2,690.0
JUN,LCP1,1154.0
JUN,MR1,911.0
JUN,MTMR6,674.0
JUN,BAP1,725.0
JUN,MGAT1,490.0
JUN,SDF2L1,1165.0
JUN,STRAP,496.0
JUN,SSR2,519.0
JUN,ANXA5,738.0
JUN,CDCA4,586.0
JUN,SUMO3,568.0
JUN,9530068E07RIK,591.0
JUN,STIP1,991.0
JUN,SESN1,650.0
JUN,DIAPH2,1557.0
JUN,RIN3,951.0
JUN,NDUFV1,626.0
JUN,ZDHHC13,865.0
JUN,DOK2,547.0
JUN,SPHK1,644.0
JUN,B2M,762.0
JUN,NAPSA,833.0
JUN,HDGF,1264.0
JUN,KIF11,602.0
JUN,PSME4,692.0
JUN,CDCA3,542.0
JUN,RSAD2,896.0
JUN,VPS33A,623.0
JUN,METTL7A1,772.0
JUN,CUL3,560.0
JUN,CTSS,680.0
JUN,INTS4,470.0
JUN,PLAA,806.0
JUN,ARHGDIB,934.0
JUN,MORF4L2,561.0
JUN,HSPA4L,946.0
JUN,PROCR,925.0
JUN,NABP1,638.0
JUN,FCGR3,807.0
JUN,NUF2,674.0
JUN,CERS6,771.0
JUN,SERPINA3G,1040.0
JUN,SDHD,713.0
JUN,NOL9,623.0
JUN,VPS26C,547.0
JUN,TBC1D10C,517.0
JUN,HNRNPDL,674.0
JUN,SAMD9L,1214.0
JUN,PHAX,540.0
JUN,SMIM13,589.0
JUN,LPCAT3,389.0
JUN,MYO5A,611.0
JUN,GPR18,1029.0
JUN,RABIF,478.0
JUN,CCT6A,614.0
JUN,YPEL3,894.0
JUN,FEM1A,525.0
JUN,RLF,561.0
JUN,TFEC,790.0
JUN,PCCA,930.0
JUN,SLC30A6,1487.0
JUN,PLEKHO2,790.0
JUN,MPP5,554.0
JUN,SPATA13,1334.0
JUN,CNST,510.0
JUN,FCHSD2,1345.0
JUN,CSF1R,1171.0
JUN,GALNS,652.0
JUN,CD82,534.0
JUN,TXNL1,550.0
JUN,MAML2,588.0
JUN,PSMC4,567.0
JUN,D10WSU102E,512.0
JUN,ATP7B,606.0
JUN,ALG11,606.0
JUN,KNL1,749.0
JUN,SERPINA3F,1040.0
JUN,MCEMP1,1553.0
JUN,PPCDC,448.0
JUN,MORC2A,1606.0
JUN,PTPN7,910.0
JUN,ABI1,794.0
JUN,RANBP6,554.0
JUN,COPB2,633.0
JUN,TOMM40,465.0
JUN,BYSL,775.0
JUN,MKI67,1013.0
JUN,NDRG1,1202.0
JUN,USP20,505.0
JUN,DNPEP,493.0
JUN,ERLIN2,714.0
JUN,MEF2C,815.0
JUN,P4HB,696.0
JUN,PIK3R2,383.0
JUN,ETNK1,517.0
JUN,ITSN1,677.0
JUN,TSPAN8,640.0
JUN,NAA30,599.0
JUN,ZFP35,480.0
JUN,RRM1,682.0
JUN,GTF2H1,473.0
JUN,ANAPC2,444.0
JUN,FAM76B,559.0
JUN,IRAK3,1390.0
JUN,PBLD2,1314.0
JUN,TRPS1,462.0
JUN,CAMK1D,1156.0
JUN,PPP1CB,467.0
JUN,UAP1L1,807.0
JUN,H2-M3,664.0
JUN,ZFP451,749.0
JUN,CD274,1136.0
JUN,GNPDA1,589.0
JUN,TNFAIP2,1463.0
JUN,INCENP,466.0
JUN,DCAF13,616.0
JUN,PDIA3,484.0
JUN,SLC25A5,644.0
JUN,RAP1B,585.0
JUN,HMBS,446.0
JUN,CYB5R1,653.0
JUN,PARVG,566.0
JUN,EDRF1,656.0
JUN,C1QBP,971.0
JUN,AHCTF1,482.0
JUN,IRF1,1312.0
JUN,FBXL4,893.0
JUN,CTNNA1,1039.0
JUN,ABCB4,990.0
JUN,CD300A,772.0
JUN,SENP8,440.0
JUN,WDR75,396.0
JUN,DCAF11,517.0
JUN,NUP155,695.0
JUN,TOR1AIP2,442.0
JUN,CKS2,675.0
JUN,FGFR1OP,569.0
JUN,TRIM30A,614.0
JUN,MTCH2,452.0
JUN,CKAP2L,767.0
JUN,ADO,473.0
JUN,SLBP,535.0
JUN,HP,972.0
JUN,MS4A6C,668.0
JUN,ACOX1,451.0
JUN,INTS6,379.0
JUN,DEPP1,654.0
JUN,GNB4,844.0
JUN,RORA,731.0
JUN,KPNA1,560.0
JUN,IFNGR1,779.0
JUN,ELL2,513.0
JUN,FRMD6,541.0
JUN,LPCAT2,897.0
JUN,ZFP954,740.0
JUN,ASPH,501.0
JUN,MANEA,681.0
JUN,B230219D22RIK,729.0
JUN,ITGAM,764.0
JUN,GPR19,578.0
JUN,CCDC186,876.0
JUN,TOPORS,662.0
JUN,SSH2,876.0
JUN,USP14,645.0
JUN,CCNF,889.0
JUN,SDC4,1694.0
JUN,PQLC1,521.0
JUN,MAD2L1,454.0
JUN,POMGNT1,821.0
JUN,NMT2,436.0
JUN,OSTM1,852.0
JUN,HACD4,534.0
JUN,D1ERTD622E,705.0
JUN,RASA4,573.0
JUN,PON2,391.0
JUN,RTEL1,776.0
JUN,USP48,408.0
JUN,ALDH18A1,576.0
JUN,PA2G4,523.0
JUN,ZFP672,494.0
JUN,RAD51,536.0
JUN,WDR4,580.0
JUN,PPM1L,403.0
JUN,CASP9,648.0
JUN,SLC9A9,670.0
JUN,FDFT1,484.0
JUN,MFSD8,855.0
JUN,RUSC2,501.0
JUN,SACM1L,806.0
JUN,CHST11,668.0
JUN,POLR2B,410.0
JUN,LCN2,925.0
JUN,THADA,769.0
JUN,UQCRC1,640.0
JUN,NMD3,573.0
JUN,WDHD1,522.0
JUN,CCNA2,409.0
JUN,TVP23B,478.0
JUN,NDUFB9,466.0
JUN,CRK,543.0
JUN,PSAT1,739.0
JUN,MED16,385.0
JUN,NIF3L1,502.0
JUN,INTS13,476.0
JUN,CLN5,617.0
JUN,DENND2D,986.0
JUN,TMEM123,431.0
JUN,PACSIN2,864.0
JUN,HAAO,550.0
JUN,PMPCA,583.0
JUN,NEK1,495.0
JUN,DLST,610.0
JUN,PHF8,474.0
JUN,BCAP29,615.0
JUN,PKN3,1264.0
JUN,CLU,1175.0
JUN,CACFD1,570.0
JUN,SPCS3,947.0
JUN,PLEKHB1,421.0
JUN,NOP2,789.0
JUN,GNA11,389.0
JUN,CD33,603.0
JUN,XDH,660.0
JUN,RETREG2,535.0
JUN,CREBRF,678.0
JUN,PPP6C,545.0
JUN,GMFB,625.0
JUN,EIF2S1,503.0
JUN,MDN1,506.0
JUN,RETREG3,435.0
JUN,USP37,399.0
JUN,IL18BP,1978.0
JUN,TMEM9B,1212.0
JUN,CEP70,1240.0
JUN,TOP3B,515.0
JUN,KLHL24,1088.0
JUN,BRAT1,312.0
JUN,NARFL,434.0
JUN,USP4,321.0
JUN,ATP5G3,502.0
JUN,UMPS,400.0
JUN,ACCS,382.0
JUN,ICE2,646.0
JUN,TBC1D5,511.0
JUN,CASP1,575.0
JUN,GSR,521.0
JUN,TFRC,439.0
JUN,IER3,1480.0
JUN,LAPTM4B,405.0
JUN,H2-EB1,545.0
JUN,DNAJC5,374.0
JUN,FAM102B,436.0
JUN,RNF13,710.0
JUN,SP4,502.0
JUN,NUSAP1,925.0
JUN,NUP93,499.0
JUN,TSPAN14,310.0
JUN,DDX39,600.0
JUN,XPC,476.0
JUN,TRIM16,810.0
JUN,THUMPD3,381.0
JUN,WARS,597.0
JUN,PPM1G,466.0
JUN,CCDC137,572.0
JUN,TMSB4X,500.0
JUN,SEC23A,400.0
JUN,RHOH,768.0
JUN,LYZ2,472.0
JUN,PWP1,543.0
JUN,EXOC3,584.0
JUN,XAB2,462.0
JUN,ANO10,384.0
JUN,SBF2,1298.0
JUN,IRF9,449.0
JUN,GSS,360.0
JUN,GBE1,1014.0
JUN,SUPV3L1,910.0
JUN,GM2A,337.0
JUN,NUCB2,546.0
JUN,DUS1L,319.0
JUN,UCP2,484.0
JUN,METAP1,469.0
JUN,YOD1,981.0
JUN,SARAF,480.0
JUN,RUNDC1,330.0
JUN,BC005561,733.0
JUN,PIP4K2A,504.0
JUN,PDIA4,419.0
JUN,FLVCR1,759.0
JUN,TUBA1B,777.0
JUN,EPHX1,889.0
JUN,GSTM5,965.0
JUN,TLR7,582.0
JUN,SEC24D,504.0
JUN,SLC26A2,490.0
JUN,PARP8,562.0
JUN,LEPROT,761.0
JUN,ICAM1,1313.0
JUN,IFT140,411.0
JUN,CALU,438.0
JUN,SEMA4A,1508.0
JUN,ZBTB40,570.0
JUN,TMEM97,1154.0
JUN,NUDCD1,776.0
JUN,GRK3,1401.0
JUN,CMPK2,929.0
JUN,TAB1,563.0
JUN,RHOT1,317.0
JUN,AI597479,412.0
JUN,CYTH4,493.0
JUN,NUDCD3,535.0
JUN,ANTXR2,551.0
JUN,NDOR1,464.0
JUN,E2F6,927.0
JUN,ODC1,437.0
JUN,ACAA2,426.0
JUN,MOGS,477.0
JUN,SCARB1,521.0
JUN,TRMT6,292.0
JUN,PHETA2,766.0
JUN,CIPC,682.0
JUN,ARHGAP12,455.0
JUN,VAV3,483.0
JUN,PLEKHG1,1053.0
JUN,ELAC2,296.0
JUN,RARS,363.0
JUN,LONP2,388.0
JUN,CDC45,801.0
JUN,PRPF4,485.0
JUN,BMI1,604.0
JUN,INO80D,583.0
JUN,MYOF,562.0
JUN,CEP55,386.0
JUN,FUCA2,486.0
JUN,CCDC93,1015.0
JUN,D230025D16RIK,478.0
JUN,SRGAP3,809.0
JUN,ORC2,433.0
JUN,KIF18A,444.0
JUN,GARS,456.0
JUN,EIF3B,382.0
JUN,PQLC3,450.0
JUN,MORC3,505.0
JUN,CSF3R,1026.0
JUN,CUL4A,551.0
JUN,DHX35,421.0
JUN,MCM4,449.0
JUN,IRAK2,319.0
JUN,TMEM147,553.0
JUN,SH3BP5L,494.0
JUN,ELMO1,482.0
JUN,ATP1B3,576.0
JUN,RPTOR,395.0
JUN,PIK3R1,1132.0
JUN,VDAC1,434.0
JUN,CLPX,454.0
JUN,SLC46A3,609.0
JUN,USP42,463.0
JUN,SETD2,594.0
JUN,HARS2,769.0
JUN,HARS,769.0
JUN,CCT2,432.0
JUN,UBOX5,392.0
JUN,L2HGDH,682.0
JUN,POLD1,411.0
JUN,CHRNB1,324.0
JUN,SLC39A9,409.0
JUN,POLR1B,312.0
JUN,ELOVL1,393.0
JUN,MFN2,634.0
JUN,SRSF1,385.0
JUN,H2-DMA,425.0
JUN,SLC45A3,410.0
JUN,DDHD2,477.0
JUN,MLKL,507.0
JUN,HLF,458.0
JUN,PRMT7,370.0
JUN,ABR,399.0
JUN,EEPD1,565.0
JUN,ABHD17B,311.0
JUN,RPS27L,453.0
JUN,RAD21,770.0
JUN,NR2C1,459.0
JUN,HUS1,620.0
JUN,PSMD9,478.0
JUN,ITGAL,579.0
JUN,METAP2,652.0
JUN,DDX21,356.0
JUN,MIS18BP1,644.0
JUN,SLC19A2,408.0
JUN,PDZK1IP1,629.0
JUN,APOE,458.0
JUN,CDKN1A,712.0
JUN,GNL3,471.0
JUN,CBFB,456.0
JUN,BTRC,309.0
JUN,TRIM35,364.0
JUN,RNF139,375.0
JUN,FPGS,366.0
JUN,NCEH1,407.0
JUN,TIFA,724.0
JUN,CTSL,385.0
JUN,ZFP639,426.0
JUN,SMIM15,704.0
JUN,SEH1L,465.0
JUN,FAAP100,446.0
JUN,CACYBP,420.0
JUN,FAM185A,516.0
JUN,ANXA3,447.0
JUN,UROS,504.0
JUN,OTUD4,520.0
JUN,ZHX1,394.0
JUN,CRLF3,264.0
JUN,PPIL4,424.0
JUN,CALR,522.0
JUN,EIF2B1,396.0
JUN,FER,825.0
JUN,ARFGEF2,596.0
JUN,RAN,538.0
JUN,EML4,561.0
JUN,DEK,647.0
JUN,CCDC50,499.0
JUN,PLA2G15,1693.0
JUN,HIST1H2BC,409.0
JUN,SNUPN,501.0
JUN,IMMT,355.0
JUN,SLC27A1,290.0
JUN,GLRX5,319.0
JUN,COX7A2,462.0
JUN,SLC20A1,310.0
JUN,CNOT7,575.0
JUN,NSUN2,305.0
JUN,IPO9,853.0
JUN,MYO1F,512.0
JUN,ABLIM1,1108.0
JUN,ANAPC4,561.0
JUN,IDH3A,314.0
JUN,TAF1,335.0
JUN,PDGFRB,712.0
JUN,WDR7,558.0
JUN,IL15,1566.0
JUN,IARS2,542.0
JUN,LARS2,653.0
JUN,NDRG3,420.0
JUN,IL4RA,1101.0
JUN,TRIM30D,448.0
JUN,IARS,438.0
JUN,TCAF1,540.0
JUN,GM5431,469.0
JUN,EFTUD2,278.0
JUN,HAGH,345.0
JUN,ARHGEF39,766.0
JUN,VAV1,592.0
JUN,LCP2,410.0
JUN,LGALS3BP,361.0
JUN,CYBC1,510.0
JUN,APPL1,562.0
JUN,SLC25A37,262.0
JUN,REXO2,633.0
JUN,PSMD7,430.0
JUN,TMEM129,254.0
JUN,TACC3,254.0
JUN,DOCK2,494.0
JUN,PRIM2,596.0
JUN,MAN1A,902.0
JUN,PTDSS2,1088.0
JUN,PSME3,366.0
JUN,GABBR1,543.0
JUN,GDAP2,410.0
JUN,KIF3B,552.0
JUN,E2F4,365.0
JUN,APBB1,592.0
JUN,MEX3C,1153.0
JUN,CASP3,497.0
JUN,ALAS1,1044.0
JUN,ADK,331.0
JUN,CYTH3,598.0
JUN,GNAI3,432.0
JUN,9430015G10RIK,421.0
JUN,PIP4K2B,314.0
JUN,COPB1,397.0
JUN,ELP3,513.0
JUN,OASL2,483.0
JUN,H2AFX,331.0
JUN,FOS,388.0
JUN,TRIM39,398.0
JUN,CCR9,631.0
JUN,ZFP944,345.0
JUN,EYA1,512.0
JUN,PF4,725.0
JUN,CYB5R3,461.0
JUN,SMU1,314.0
JUN,THBS1,719.0
JUN,NAPG,320.0
JUN,MYNN,542.0
JUN,TCF19,414.0
JUN,MS4A4C,651.0
JUN,DHX40,282.0
JUN,DNAJC11,424.0
JUN,BATF2,470.0
JUN,XPR1,404.0
JUN,IGF1,567.0
JUN,BZW1,420.0
JUN,IKZF1,518.0
JUN,CPT2,653.0
JUN,CDC6,257.0
JUN,AP1M1,242.0
JUN,FKBP4,553.0
JUN,BSG,258.0
JUN,HERC4,300.0
JUN,SNX30,338.0
JUN,PLK2,441.0
JUN,PITPNC1,429.0
JUN,H2-DMB1,848.0
JUN,PRDX3,398.0
JUN,ADAMTSL5,704.0
JUN,STEAP3,392.0
JUN,SOD1,767.0
JUN,RPN2,399.0
JUN,BLZF1,334.0
JUN,VARS,329.0
JUN,CANX,373.0
JUN,UBA3,1056.0
JUN,SDHAF2,537.0
JUN,HYOU1,271.0
JUN,ANXA6,417.0
JUN,RABGGTB,314.0
JUN,PTCD3,416.0
JUN,DDX58,496.0
JUN,FASTKD2,282.0
JUN,CTSH,514.0
JUN,UROD,314.0
JUN,HECTD3,314.0
JUN,GNG2,1039.0
JUN,BID,261.0
JUN,PIM2,1468.0
JUN,FADS3,858.0
JUN,HNRNPLL,404.0
